起点节点,终点节点,路段长度
3,45,42.464691215173104
3,65,39.73977856002723
4,39,45.609757727924844
4,63,10.307764064044152
5,50,8.48528137423857
7,32,11.40175425099138
7,47,12.806248474865697
8,9,11.597413504743201
8,47,20.796634343085422
9,35,4.242640687119285
10,34,49.216359068911224
11,22,32.69556544854363
11,26,9.0
12,25,17.88854381999832
14,21,32.64965543462902
15,7,38.18376618407357
15,31,29.68164415931166
16,14,67.4166151627327
17,40,26.879360111431225
17,42,9.848857801796104
17,81,40.22437072223753
18,81,6.708203932499369
18,83,5.385164807134504
19,79,12.165525060596439
20,86,3.605551275463989
21,22,18.027756377319946
22,13,9.055385138137417
23,13,5.0
24,13,23.853720883753127
24,25,18.027756377319946
25,11,20.024984394500787
26,27,7.433034373659253
26,10,35.38361202590826
27,12,33.04920573932148
28,29,9.486832980505138
28,15,47.51841748206689
29,30,74.32361670424818
30,7,5.830951894845301
30,48,7.0710678118654755
31,32,11.704699910719626
31,34,15.532224567009067
32,33,5.0990195135927845
33,34,7.566372975210778
33,8,8.276472678623424
34,9,5.024937810560445
35,45,6.708203932499369
36,35,5.0
36,37,5.0990195135927845
36,16,6.082762530298219
36,39,35.014282800023196
37,7,30.4138126514911
39,40,17.67766952966369
41,17,8.5
42,43,8.06225774829855
43,72,8.06225774829855
44,3,11.629703349613008
47,48,10.198039027185569
47,6,14.866068747318506
47,5,14.560219778561036
48,61,29.0
50,51,3.8078865529319543
51,52,4.301162633521313
52,56,4.242640687119285
53,52,8.381527307120106
55,3,12.658988901172163
62,4,23.69071548096427
62,85,52.20153254455275
63,64,55.01363467359705
64,65,32.96209944769902
64,76,70.01785486574121
67,44,14.7648230602334
67,68,6.324555320336759
68,69,16.15549442140351
69,70,5.385164807134504
69,71,14.230249470757707
70,43,7.615773105863909
71,72,24.869660230891775
71,74,18.034688796871432
72,73,8.06225774829855
73,74,4.031128874149275
73,18,19.72308292331602
74,80,19.5
76,77,4.47213595499958
77,78,8.54400374531753
77,19,9.848857801796104
78,79,11.40175425099138
79,80,18.973665961010276
80,18,16.15549442140351
81,82,5.024937810560445
82,83,5.408326913195984
82,90,8.73212459828649
83,84,11.704699910719626
84,85,27.073972741361768
85,20,4.47213595499958
86,87,11.045361017187261
86,88,9.340770846134703
87,88,4.031128874149275
88,89,4.031128874149275
88,91,3.0413812651491097
89,20,9.486832980505138
89,84,20.223748416156685
89,90,3.5355339059327378
90,91,4.743416490252569
